station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CYOD,2024-06-01 00:00,48.20,44.60,87.28,310.00,20.00,0.00,29.73,1008.20,6.00,27.00,OVC,M,M,M,3000.00,M,M,M,-SHRA,M,M,M,M,M,M,40.66,CYOD 010000Z 31020G27KT 6SM -SHRA OVC030 09/07 A2973 RMK SC8 DENSITY ALT 1739FT SLP082,M
CYOD,2024-06-01 00:06,46.40,42.80,87.19,290.00,16.00,0.00,29.72,1008.10,3.00,33.00,OVC,M,M,M,3000.00,M,M,M,-SHRA,M,M,M,M,M,M,39.19,CYOD 010006Z 29016G33KT 3SM -SHRA OVC030 08/06 A2972 RMK SC8 DENSITY ALT 1624FT SLP081,M
CYOD,2024-06-01 00:22,44.60,41.00,87.09,260.00,14.00,0.00,29.71,1007.70,15.00,M,BKN,M,M,M,3500.00,M,M,M,-SHRA,M,M,M,M,M,M,37.40,CYOD 010022Z 26014KT 15SM -SHRA BKN035 07/05 A2971 RMK SC7 DENSITY ALT 1594FT SLP077,M
CYOD,2024-06-01 00:29,46.40,42.80,87.19,250.00,13.00,0.00,29.71,1007.70,15.00,M,SCT,BKN,M,M,3500.00,7500.00,M,M,M,M,M,M,M,M,M,40.02,CYOD 010029Z 25013KT 15SM SCT035 BKN075 08/06 A2971 RMK SC4AC3 DENSITY ALT 1623FT SLP077,M
CYOD,2024-06-01 01:00,46.40,44.60,93.40,230.00,8.00,0.00,29.71,1007.70,15.00,M,SCT,OVC,M,M,4500.00,9000.00,M,M,M,M,M,M,M,M,M,41.85,CYOD 010100Z 23008KT 15SM SCT045 OVC090 08/07 A2971 RMK SC4AC4 DENSITY ALT 1683FT SLP077,M
CYOD,2024-06-01 02:00,50.00,44.60,81.61,230.00,10.00,0.00,29.70,1007.10,15.00,M,FEW,OVC,M,M,6000.00,12000.00,M,M,M,M,M,M,M,M,M,50.00,CYOD 010200Z 23010KT 15SM FEW060 OVC120 10/07 A2970 RMK SC2AC6 DENSITY ALT 1887FT SLP071,M
CYOD,2024-06-01 03:00,50.00,44.60,81.61,240.00,9.00,0.00,29.69,1006.80,15.00,M,FEW,OVC,M,M,8000.00,12000.00,M,M,M,M,M,M,M,M,M,50.00,CYOD 010300Z 24009KT 15SM FEW080 OVC120 10/07 A2969 RMK AC2AC6 DENSITY ALT 1909FT SLP068,M
CYOD,2024-06-01 04:00,50.00,42.80,76.18,250.00,8.00,0.00,29.70,1006.90,15.00,M,BKN,OVC,M,M,5000.00,18000.00,M,M,M,M,M,M,M,M,M,50.00,CYOD 010400Z 25008KT 15SM BKN050 OVC180 10/06 A2970 RMK SC5AC3 DENSITY ALT 1917FT SLP069,M
CYOD,2024-06-01 05:00,48.20,41.00,76.01,250.00,12.00,0.00,29.69,1006.70,15.00,M,FEW,BKN,M,M,9000.00,11000.00,M,M,M,M,M,M,M,M,M,42.62,CYOD 010500Z 25012KT 15SM FEW090 BKN110 09/05 A2969 RMK AC2AC3 DENSITY ALT 1862FT SLP067,M
CYOD,2024-06-01 06:00,48.20,41.00,76.01,240.00,12.00,0.00,29.69,1006.50,15.00,M,FEW,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,42.62,CYOD 010600Z 24012KT 15SM FEW090 09/05 A2969 RMK AC2 DENSITY ALT 1796FT SLP065,M
CYOD,2024-06-01 07:00,46.40,41.00,81.34,250.00,10.00,0.00,29.68,1006.20,15.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,41.03,CYOD 010700Z 25010KT 15SM FEW100 08/05 A2968 RMK AC2 DENSITY ALT 1730FT SLP062,M
CYOD,2024-06-01 08:00,46.40,41.00,81.34,250.00,9.00,0.00,29.68,1006.30,15.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,41.42,CYOD 010800Z 25009KT 15SM FEW100 08/05 A2968 RMK AC1 DENSITY ALT 1664FT SLP063,M
CYOD,2024-06-01 09:00,44.60,41.00,87.09,240.00,10.00,0.00,29.68,1006.30,15.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,38.77,CYOD 010900Z 24010KT 15SM FEW100 07/05 A2968 RMK AC1 DENSITY ALT 1613FT SLP063,M
CYOD,2024-06-01 10:00,44.60,41.00,87.09,240.00,10.00,0.00,29.68,1006.40,15.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,38.77,CYOD 011000Z 24010KT 15SM FEW100 07/05 A2968 RMK AC1 DENSITY ALT 1586FT SLP064,M
CYOD,2024-06-01 11:00,42.80,41.00,93.30,240.00,9.00,0.00,29.69,1006.60,15.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,36.94,CYOD 011100Z 24009KT 15SM FEW100 06/05 A2969 RMK AC1 DENSITY ALT 1484FT SLP066,M
CYOD,2024-06-01 12:00,44.60,41.00,87.09,250.00,10.00,0.00,29.69,1006.90,15.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,38.77,CYOD 011200Z 25010KT 15SM SKC 07/05 A2969 RMK DENSITY ALT 1562FT SLP069,M
CYOD,2024-06-01 13:00,46.40,41.00,81.34,260.00,11.00,0.00,29.69,1006.90,15.00,M,FEW,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,40.66,CYOD 011300Z 26011KT 15SM FEW060 08/05 A2969 RMK CF1 DENSITY ALT 1731FT SLP069,M
CYOD,2024-06-01 14:00,50.00,41.00,71.07,280.00,13.00,0.00,29.69,1006.80,15.00,M,FEW,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,50.00,CYOD 011400Z 28013KT 15SM FEW060 10/05 A2969 RMK SC2 DENSITY ALT 1884FT SLP068,M
CYOD,2024-06-01 15:00,51.80,41.00,66.48,260.00,12.00,0.00,29.68,1006.30,15.00,M,FEW,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,51.80,CYOD 011500Z 26012KT 15SM FEW060 11/05 A2968 RMK CU2 DENSITY ALT 2111FT SLP063,M
CYOD,2024-06-01 16:00,55.40,37.40,50.64,290.00,14.00,0.00,29.68,1006.00,15.00,M,FEW,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,55.40,CYOD 011600Z 29014KT 15SM FEW060 13/03 A2968 RMK CU2 DENSITY ALT 2338FT SLP060,M
CYOD,2024-06-01 17:00,57.20,35.60,44.19,300.00,14.00,0.00,29.68,1005.90,15.00,M,FEW,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,57.20,CYOD 011700Z 30014KT 15SM FEW060 14/02 A2968 RMK CU2 DENSITY ALT 2478FT SLP059,M
CYOD,2024-06-01 18:00,59.00,33.80,38.56,300.00,21.00,0.00,29.67,1005.80,15.00,M,FEW,M,M,M,5500.00,M,M,M,M,M,M,M,M,M,M,59.00,CYOD 011800Z CCA 30021KT 15SM FEW055 15/01 A2967 RMK CU1 DENSITY ALT 2555FT SLP058,M
CYOD,2024-06-01 19:00,60.80,30.20,31.28,310.00,17.00,0.00,29.67,1005.70,15.00,27.00,FEW,M,M,M,5500.00,M,M,M,M,M,M,M,M,M,M,60.80,CYOD 011900Z 31017G27KT 15SM FEW055 16/M01 A2967 RMK CU2 DENSITY ALT 2684FT SLP057,M
CYOD,2024-06-01 20:00,62.60,32.00,31.56,280.00,13.00,0.00,29.66,1005.40,15.00,M,FEW,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,62.60,CYOD 012000Z 28013KT 15SM FEW070 17/00 A2966 RMK CU2 DENSITY ALT 2837FT SLP054,M
CYOD,2024-06-01 21:00,62.60,30.20,29.35,280.00,17.00,0.00,29.65,1005.10,15.00,28.00,SCT,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,62.60,CYOD 012100Z 28017G28KT 15SM SCT070 17/M01 A2965 RMK CU3 DENSITY ALT 2878FT SLP051,M
CYOD,2024-06-01 22:00,64.40,30.20,27.55,260.00,10.00,0.00,29.65,1004.90,15.00,M,FEW,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,64.40,CYOD 012200Z 26010KT 15SM FEW075 18/M01 A2965 RMK CU2 DENSITY ALT 2965FT SLP049,M
CYOD,2024-06-01 23:00,64.40,30.20,27.55,310.00,12.00,0.00,29.64,1004.80,15.00,M,SCT,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,64.40,CYOD 012300Z 31012KT 15SM SCT080 18/M01 A2964 RMK CU3 DENSITY ALT 2999FT SLP048,M
CYOD,2024-06-02 00:00,62.60,30.20,29.35,310.00,12.00,0.00,29.65,1005.00,15.00,M,BKN,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,62.60,CYOD 020000Z 31012KT 15SM BKN080 17/M01 A2965 RMK AC5 DENSITY ALT 2801FT SLP050,M
CYOD,2024-06-02 01:00,59.00,37.40,44.47,40.00,10.00,0.00,29.66,1005.40,15.00,M,BKN,BKN,M,M,8000.00,25000.00,M,M,M,M,M,M,M,M,M,59.00,CYOD 020100Z 04010KT 15SM BKN080 BKN250 15/03 A2966 RMK AC5CI1 DENSITY ALT 2644FT SLP054,M
CYOD,2024-06-02 02:00,55.40,39.20,54.34,30.00,14.00,0.00,29.68,1006.10,15.00,M,SCT,BKN,M,M,9000.00,25000.00,M,M,M,M,M,M,M,M,M,55.40,CYOD 020200Z 03014KT 15SM SCT090 BKN250 13/04 A2968 RMK AC4CI1 DENSITY ALT 2302FT SLP061,M
CYOD,2024-06-02 03:00,53.60,39.20,58.02,40.00,10.00,0.00,29.69,1006.40,15.00,M,FEW,FEW,M,M,9000.00,25000.00,M,M,M,M,M,M,M,M,M,53.60,CYOD 020300Z 04010KT 15SM FEW090 FEW250 12/04 A2969 RMK AC1CI1 DENSITY ALT 2126FT SLP064,M
CYOD,2024-06-02 04:00,48.20,39.20,70.88,80.00,4.00,0.00,29.70,1006.80,15.00,M,FEW,FEW,M,M,9000.00,25000.00,M,M,M,M,M,M,M,M,M,46.34,CYOD 020400Z 08004KT 15SM FEW090 FEW250 09/04 A2970 RMK AC1CI1 DENSITY ALT 1771FT SLP068,M
CYOD,2024-06-02 05:00,44.60,37.40,75.68,30.00,5.00,0.00,29.71,1007.30,15.00,M,FEW,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,41.36,CYOD 020500Z 03005KT 15SM FEW250 07/03 A2971 RMK CI1 DENSITY ALT 1553FT SLP073,M
CYOD,2024-06-02 06:00,41.00,37.40,86.89,50.00,5.00,0.00,29.72,1007.70,15.00,M,FEW,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,37.08,CYOD 020600Z 05005KT 15SM FEW250 05/03 A2972 RMK CI1 DENSITY ALT 1293FT SLP077,M
CYOD,2024-06-02 07:00,41.00,37.40,86.89,100.00,3.00,0.00,29.73,1007.80,15.00,M,FEW,M,M,M,25000.00,M,M,M,M,M,M,M,M,M,M,38.98,CYOD 020700Z 10003KT 15SM FEW250 05/03 A2973 RMK CI1 DENSITY ALT 1239FT SLP078,M
CYOD,2024-06-02 08:00,39.20,37.40,93.19,0.00,0.00,0.00,29.73,1007.90,15.00,M,CLR,M,M,M,M,M,M,M,MIFG,M,M,M,M,M,M,39.20,CYOD 020800Z 00000KT 15SM MIFG SKC 04/03 A2973 RMK DENSITY ALT 1096FT SLP079,M
CYOD,2024-06-02 09:00,33.80,32.00,93.03,330.00,5.00,0.00,29.74,1008.30,15.00,M,FEW,M,M,M,23000.00,M,M,M,M,M,M,M,M,M,M,28.53,CYOD 020900Z 33005KT 15SM FEW230 01/00 A2974 RMK CI1 DENSITY ALT 661FT SLP083,M
